title,abstract,doi,label
Where Did They Not Go? Considerations For Generating Pseudo-Absences For Telemetry-Based Habitat Models,"Background habitat suitability models give insight into the ecological drivers of species distributions and are increasingly common in management and conservation planning. telemetry data can be used in habitat models to describe where animals were present, however this requires the use of presence-only modeling approaches or the generation of 'pseudo-absences' to simulate locations where animals did not go. to highlight considerations for generating pseudo-absences for telemetry-based habitat models, we explored how different methods of pseudo-absence generation affect model performance across species' movement strategies, model types, and environments. methods we built habitat models for marine and terrestrial case studies, northeast pacific blue whales (balaenoptera musculus) and african elephants (loxodonta africana). we tested four pseudo-absence generation methods commonly used in telemetry-based habitat models: (1) background sampling; (2) sampling within a buffer zone around presence locations; (3) correlated random walks beginning at the tag release location; (4) reverse correlated random walks beginning at the last tag location. habitat models were built using generalised linear mixed models, generalised additive mixed models, and boosted regression trees. results we found that the separation in environmental niche space between presences and pseudo-absences was the single most important driver of model explanatory power and predictive skill. this result was consistent across marine and terrestrial habitats, two species with vastly different movement syndromes, and three different model types. the best-performing pseudo-absence method depended on which created the greatest environmental separation: background sampling for blue whales and reverse correlated random walks for elephants. however, despite the fact that models with greater environmental separation performed better according to traditional predictive skill metrics, they did not always produce biologically realistic spatial predictions relative to known distributions. conclusions habitat model performance may be positively biased in cases where pseudo-absences are sampled from environments that are dissimilar to presences. this emphasizes the need to carefully consider spatial extent of the sampling domain and environmental heterogeneity of pseudo-absence samples when developing habitat models, and highlights the importance of scrutinizing spatial predictions to ensure that habitat models are biologically realistic and fit for modeling objectives.",10.1186/s40462-021-00240-2,0
A Novel Model Of Predator-Prey Interactions Reveals The Sensitivity Of Forage Fish: Piscivore Fishery Trade-Offs To Ecological Conditions,"Ecosystem-based fisheries management seeks to consider trade-offs among management objectives for interacting species, such as those that arise through predator-prey linkages. in particular, fisheries-targeting forage fish (small and abundant pelagic fish) might have a detrimental effect on fisheries-targeting predators that consume them. however, complexities in ecological interactions might dampen, negate, or even reverse this trade-off, because small pelagic fish can be important predators on egg stages of piscivorous fish. further, the strength of this trade-off might depend on the extent to which piscivorous fish targeted by fisheries regulate forage species productivity. here, we developed a novel delay-differential bioeconomic model of predator-prey and fishing dynamics to quantify how much egg predation or weak top-town control affects the strength of trade-off between forage and piscivore fisheries, and to measure how ecological interactions dictate policies that maximize steady-state profits. we parameterized the model based on ecological and economic data from the north sea atlantic cod (gadus morhua) and atlantic herring (clupea harengus). the optimal policy was very sensitive to the ecological interactions (either egg predation or weak top-down control of forage by predators) at relatively low forage prices but was less sensitive at high forage fish prices. however, the optimal equilibrium harvest rates on forage and piscivores were not substantially different from what might be derived through analyses that did not consider species interactions. applying the optimal multispecies policy would produce substantial losses (>25%) in profits in the piscivore fishery, and the extent of loss was sensitive to ecological scenarios. while our equilibrium analysis is informative, a dynamic analysis under similar ecological scenarios is necessary to reveal the full economic and ecological benefits of applying ecosystem-based fishery management policies to predator-prey fishery systems.",10.1093/icesjms/fsu242,1
"Rebuilding Global Fisheries: The World Summit Goal, Costs And Benefits","Many of the world's fish stocks are depleted as a result of overexploitation, pollution and habitat loss. the 2002 world summit on sustainable development (wssd) sets a target for fisheries to maintain or restore stocks to levels that can produce the maximum sustainable yield (msy) by 2015. we assessed the global stock status and found that 68% were at or above the msy level in 2008 and that the 2015 target is unlikely to be met. we compiled data for eight indicators to evaluate the sustainability of fisheries and the gap to meet the wssd target. these indicators show that the overall condition of global fisheries is declining, long-term benefits are being compromised, and pressures on fisheries are increasing despite fisheries policy and management actions being taken by coastal states. we develop a bio-economic model to estimate the costs and benefits of restoring overfished stocks. our results show that the global fishing capacity needs to be cut by 3643% from the 2008 level, resulting in the loss of employment of 1215 million fishers and costing us$96358 billion for buybacks. on the other hand, meeting the wssd goal will increase annual fishery production by 16.5 million tonnes, annual rent by us$32 billion and improve biodiversity and functioning of marine ecosystems. however, progress towards rebuilding has been hindered by an unwillingness or inability to accept the short-term socio-economic consequences associated with rebuilding fisheries. thus, there is a pressing need for integration of rebuilding plans into national political and economic decision-making.",10.1111/j.1467-2979.2012.00460.x,1
Influence Of Geotraces Data Distribution And Misfit Function Choice On Objective Parameter Retrieval In A Marine Zinc Cycle Model,"Biogeochemical model behaviour for micronutrients is typically hard to constrain because of the sparsity of observational data, the difficulty of determining parameters in situ, and uncertainties in observations and models. here, we assess the influence of data distribution, model uncertainty, and the misfit function on objective parameter optimisation in a model of the oceanic cycle of zinc (zn), an essential micronutrient for marine phytoplankton with a long whole-ocean residence time. we aim to investigate whether observational constraints are sufficient for reconstruction of biogeochemical model behaviour, given that the zn data coverage provided by the geotraces intermediate data product 2017 is sparse. furthermore, we aim to assess how optimisation results are affected by the choice of the misfit function and by confounding factors such as analytical uncertainty in the data or biases in the model related to either seasonal variability or the larger-scale circulation. the model framework applied herein combines a marine zn cycling model with a state-of-the-art estimation of distribution algorithm (covariance matrix adaption evolution strategy, cma-es) to optimise the model towards synthetic data in an ensemble of 26 optimisations. provided with a target field that can be perfectly reproduced by the model, optimisation retrieves parameter values perfectly regardless of data coverage. as differences between the model and the system underlying the target field increase, the choice of the misfit function can greatly impact optimisation results, while limitation of data coverage is in most cases of subordinate significance. in cases where optimisation to full or limited data coverage produces relatively distinct model behaviours, we find that applying a misfit metric that compensates for differences in data coverage between ocean basins considerably improves agreement between optimisation results obtained with the two data situations.",10.5194/bg-19-5079-2022,1
"The Effect Of Abundance Changes On A Management Strategy Evaluation For The Atlantic Surfclam (Spisula Solidissima) Using A Spatially Explicit, Vessel-Based Fisheries Model","Increased bottom water temperatures have caused a relocation and contraction of the range of the atlantic surfclam, spisula solidissima, in the mid-atlantic bight (mab). consequences include declining stock abundance and landings per unit effort (lpue) in southern portions of the range. a management strategy evaluation (mse) assessed the potential of rotational closures to improve surfclam productivity and fishery viability under three levels of abundance. in simulations, fishing vessels harvest the stock under performance and quota constraints and captain behavioral proclivities. management alternatives examined included the addition of area manage. ment to the current management plan using two closure location rules and three closure durations at two levels of incidental mortality. simulations showed that area management increased stock abundance and fishery lpue, particularly when surfclam abundance was low. simulations suggest area management could help insulate the stock and commercial fishery from further shifts in range.",10.1016/j.ocecoaman.2018.11.008,1
"Bioeconomic Modelling Of Coastal Cod And Kelp Forest Interactions: Co-Benefits Of Habitat Services, Fisheries And Carbon Sinks","Ecosystem-based fisheries management seeks to expand upon the traditional one-stock fisheries management measures by internalizing the effects of fishing on marine ecosystems, and accounting for biological interactions among marine resources. the fact that marine resources provide multiple, often competing benefits, makes the accomplishment of these ecosystem-based fisheries management objectives highly complex. in this paper, we develop a dynamic bioeconomic model to analyze the ecological and economic interactions between fisheries and renewable habitat where the habitat provides multiple ecosystem services. specifically, a single resource manager seeks to maximize co-benefits of fishery-habitat interactions when the habitat is an exploitable marine resource, but also a dwelling place for commercial fish, enhancing the growth of the fish stock and providing regulating ecosystem services in the form of carbon sink for climate change mitigation. the optimal management rules for both fishery and habitat are derived and discussed. we also present an application of the model to analyze an integrated management of coastal cod and kelp forests in norway, where regulations on commercial harvesting of kelp forests seek to protect fisheries. both the theoretical model and the norwegian application suggest substantial potential increases for both coastal cod and kelp forest stocks, with an attendant 8% increase in cod harvests, and about 1% reduction in kelp harvests. in addition, an optimal management regime that internalizes carbon sink co-benefits of kelp forests stores additional 300,000 tonnes of carbon.",10.1007/s10640-019-00387-y,1
Ecosystem Effects Of Fishing & El Nino At The Galapagos Marine Reserve,"The galapagos archipelago is home to a diverse range of marine bioregions due to the confluence of several cold and warm water currents, resulting in some of the most productive tropical marine ecosystems in the world. these ecosystems are strongly influenced by el nino events which can reduce primary production by an order of magnitude, dramatically reducing energy available throughout the food web. fisheries are an important component of the local economy, although artisanal and illegal overfishing have dramatically reduced the productivity of invertebrate and finfish resources in recent decades, resulting in reductions in catches for local fishers. the regionally-endemic sailfin grouper (myctereoperca olfax), locally known as bacalao, was once the most important fished species in the galapagos, but is now listed as vulnerable by the iucn due to its limited range and dramatic declines in catch over time. it is unknown how reduction of this predatory species has affected ecosystem structure and function. in the absence of stock assessments, we used an estimate of unfished bacalao biomass from fishers' ecological knowledge along with unfished biomass estimates of other heavily exploited stocks-lobster (panulirus penicillatus and p. gracilis) and sea cucumber (isostichopus fuscus)-to create historical, unfished versions of existing modern day ecosystem models. we used the unfished and modern versions of the ecosystem models to test the ecosystem effects of bacalao exploitation at the bolivar channel, located in the cold, west upwelling bioregion of the archipelago during both el nino and non el nino years, and at floreana island, in the warmer, central bioregion. fishers' ecological knowledge indicates that at present, the biomass of bacalao is at least seven times lower than when unfished. this reduced bacalao biomass is linked with a greatly reduced ecosystem role compared to when unfished, and ecosystem role is further reduced in el nino years. allowing bacalao populations to rebuild to at least half of unfished biomass would partially restore their role within these ecosystems, while also resulting in greater fisheries catches. comparing ecosystem impacts caused by fishing and el nino, fishing has had a greater negative impact on bacalao ecosystem role than regular el nino events.",10.7717/peerj.6878,1
A Remote Sensing Model For Coral Recruitment Habitat,"1. there is an increased need for habitat models of coral reefs to aid active interventions and restoration efforts rather than just map reef habitat extent. habitat models provide the base layer for connectivity estimates among coral populations, to identify sites with likely increased coral survival and reduced project costs. we present a spatial modelling method to better identify coral reef habitats for coral recruitment and survival. 2. we demonstrate these methods for an offshore reef cluster in north western australia that has lost live coral as a result of successive bleaching events. this isolated set of reefs has high levels of coral self-recruitment, which makes them a good test for methods that underpin spatial optimisation of coral restoration locations. 3. our method uses satellite derived, multiscale depth and rugosity metrics to model habitat classes, and applies randomforest cross-validated variable importance to optimally select a subset of these metrics that best model each habitat. our approach produces improved models compared to existing object-based segmentation methods by overcoming a bias toward larger single-scale homogenous reef features. 4. our method produces robust models of target reef recruitment habitats with encrusting and juvenile corals with crustose coralline algae but also models of habitats that are not desirable as recruitment habitat such as turf algae, sand, and rubble. all these models meet or exceed accepted accuracy benchmarks (accuracy and auc values >0.8 on blind hold-out data used for validation and kappa values >0.6). 5. these models are specifically designed to support coral restoration including prime coral recruitment habitats with a mixture of crustose coralline encrusting and juvenile corals. 6. we demonstrate how spatially explicit model validation can identify locations within the target area where models are most and least supported, providing valuable additional insights into planning targeted survey efforts to reduce spatial uncertainty, and targeted restoration interventions that have the highest probability of success. 7. our method has broad utility due to the widely and freely available sentinel 2 remote sensing data cover for most reef systems globally, and field data collected with a simple drop camera system and classified with via the reefcloud open access image classification system. it also has potential for adaption and refinement using other finer scale commercial remote sensing satellite data that can be used to drive digital elevation models including planet labs skysat and worldview 3 data.",10.1016/j.rse.2024.114231,1
Is Size-Dependent Pricing Prevalent In Fisheries? The Case Of Norwegian Demersal And Pelagic Fisheries,"It is commonly acknowledged that body weight of fish is a key factor in determining market value of landed catch, thus influencing optimal harvest strategies. however, in management strategy evaluations and bioeconomic modelling, body size is often an overlooked economic parameter, and there are no systematic studies on the prevalence of size-dependent pricing. here we assess the presence and magnitude of size-dependent pricing in ex-vessel prices of fish in norwegian fisheries. the data encompass landings of four pelagic and four demersal stocks in norway in 2000-2010. linear mixed models and generalized additive models were used to determine the dependence of unit price on weight class as well as on total yield and time (year). the results show a significant positive relationship between weight class and price for seven out of the eight examined fish stocks. the relative effect of body weight on price was the strongest for cod, greenland halibut, norwegian spring-spawning herring and mackerel, lesser for north sea herring and saithe, and negligible for horse mackerel. these findings demonstrate that size-dependent pricing is common in norwegian fisheries, and is therefore of high relevance for resource economics and fisheries management.",10.1093/icesjms/fst121,0
Food Web Modeling Of The Southeastern Galapagos Shelf Ecosystem,"The galapagos marine reserve is one of the largest marine protected areas in the world, hosting a high species diversity and endemism and supporting economically important artisanal fisheries for local people and tourists. to ensure proper management and conservation of species in an ecosystem is necessary to determine the species' contributions to ecosystem functions and organization. we characterized the structure and functioning of the southeastern galapagos archipelago shelf ecosystem by building a mass balanced ecopath model representing the period 2001-2004. the model considered 72 functional groups, emphasizing endemic or threatened species (eots), commercial species and seven fishing fleets. various ecological network analysis indicators were used to determine the status of the ecosystem. structural and flow-based indices, trophic interactions among groups and keystone species indices were used to determine the ecological role of the species, while fishing pressure indicators were analyzed to determine the sustainability of the fisheries. the results indicate the ecosystem has a middle developing level, is stable and resilient. marine mammals, sharks, birds and fish with high trophic level (tls) play roles in maintaining the order of the ecosystem and its resilience. among these groups highlight several eots (e.g., the galapagos sea lion), and some species of commercial value (e.g., the galapagos sailfin grouper). eots and commercial species are important contributors to the ecosystem structure, but those with a lower tl contribute the most to the energy transfer. these findings suggest that certain commercial species deserve more protection as they contribute in a similar way as eots to important ecosystem functions. contrary to what was expected, the results suggest the fishing activities produce moderate impacts, mainly on fisheries target species, but without significantly affecting the ecosystem functions. however, further studies are recommended to reinforce these findings. this model provides information useful for the design of management strategies that balance the conservation and exploitation of the galapagos marine resources.",10.1016/j.ecolind.2021.108270,1
Advancing Research In Marine Functional Connectivity For Improved Policy And Management,"Marine functional connectivity (mfc) refers to the dynamic spatial exchange of biomass, individuals, genes, and energy via the collective movements of all marine organisms during their lifetimes. in addition to controlling the distribution and resilience of marine biodiversity and exploited stocks, mfc plays a key role in the structure and functioning of ecosystems, at sea and at the land-sea interface. as marine ecosystems and their species face climate change and unprecedented multiple anthropogenic pressures, rapid action is needed to comprehend mfc patterns and their changes in order to anticipate the fates of ocean services to humanity. despite many advances in techniques to measure or infer marine species' distributions and spatial dynamics, significant progress is still necessary. a full understanding of mfc requires better knowledge of the relationships between marine communities and their habitats, quantification of fluxes of matter and energy, and the capacity to forecast how the many services provided by the ocean may change. the 17 papers in this theme section showcase the range of approaches and scales applied in contemporary mfc studies and encompass the diversity of ecosystems and taxa investigated worldwide. the innovative approaches presented here to advance mfc science pave the way to enrich current understanding of mfc's role in ecosystem functioning, and flag how mfc knowledge can be better applied to protect marine resources and manage marine and littoral habitats.",10.3354/meps14550,0
"Distribution Models Of Deep-Sea Elasmobranchs In The Azores, Mid-Atlantic Ridge, To Inform Spatial Planning","Elasmobranchs inhabiting depths beyond 200 m are extremely susceptible to overexploitation but are extracted by fisheries around the world either as target species or as bycatch. there is little information available to formulate management strategies to reduce elasmobranch-fishery interactions in the deep sea. in european union waters, prohibiting the catches of deep-sea elasmobranchs has provided the necessary impetus to study bycatch avoidance of these threatened species. we used over 20 years of fisheries-independent and fisheries-dependent data to model the spatial distribution of 15 species of deep-sea elasmobranchs (12 sharks and 3 rays) captured frequently in the exclusive economic zone of the azores archipelago (mid-atlantic ridge) to explore spatial management to reduce unwanted catches of these species. we applied generalised additive models to predict the probability of presence of 15 species, as well as the abundance of 6 of those species, within the azores eez and neighbouring seamounts (up to 2000 m depth), using environmental and operational variables as predictors. our results identified that depth is most influential in determining the distribution of these sharks and rays, in addition to seafloor topography. distinctive bathymetric features such as seamounts and ridges were highlighted as areas where the probability of presence of the greatest number of species overlapped. although not related to habitat, gear type influenced the capture probability of certain species, with the artisanal handline, gorazeira, having lower captures than bottom longline. our results support using depth-based, area-based, and gear-based tactics to design management measures to reduce elasmobranch bycatch, for more sustainable deep-sea fisheries.",10.1016/j.dsr.2022.103707,1
